X axis (cm^-1)	Imaginary index (k)
100.28	0.034614
102.21	0.036598
104.14	0.038743
106.07	0.041067
107.99	0.043591
109.92	0.046341
111.85	0.049348
113.78	0.052644
115.71	0.056272
117.64	0.060279
119.56	0.064724
121.49	0.069676
123.42	0.075218
125.35	0.081455
127.28	0.088513
129.21	0.096549
131.14	0.10576
133.06	0.11641
134.99	0.12881
136.92	0.1434
138.85	0.16075
140.78	0.18164
142.71	0.20715
144.63	0.23881
146.56	0.27888
148.49	0.33077
150.42	0.39988
152.35	0.49515
154.28	0.63225
156.21	0.84081
158.13	1.1816
160.06	1.7914
161.99	2.9901
163.92	5.2529
165.85	7.4144
167.78	7.394
169.71	6.5542
171.63	5.7673
173.56	5.1392
175.49	4.6406
177.42	4.2367
179.35	3.9017
181.28	3.6179
183.2	3.3731
185.13	3.1586
187.06	2.9682
188.99	2.7971
190.92	2.6419
192.85	2.5
194.78	2.3692
196.7	2.248
198.63	2.1352
200.56	2.0297
202.49	1.9307
204.42	1.8375
206.35	1.7496
208.27	1.6661
210.2	1.5864
212.13	1.5097
214.06	1.4351
215.99	1.362
217.92	1.2897
219.85	1.2184
221.77	1.1487
223.7	1.0827
225.63	1.0243
227.56	0.97878
229.49	0.95081
231.42	0.93918
233.34	0.93413
235.27	0.92216
237.2	0.89522
239.13	0.85441
241.06	0.80684
242.99	0.76164
244.92	0.72739
246.84	0.70992
248.77	0.71024
250.7	0.72357
252.63	0.74032
254.56	0.74926
256.49	0.7421
258.41	0.71623
260.34	0.67381
262.27	0.61894
264.2	0.55569
266.13	0.4876
268.06	0.41816
269.99	0.3514
271.91	0.29161
273.84	0.24165
275.77	0.20186
277.7	0.17079
279.63	0.14652
281.56	0.12736
283.48	0.112
285.41	0.099498
287.34	0.089179
289.27	0.080546
291.2	0.073238
293.13	0.066985
295.06	0.061585
296.98	0.05688
298.91	0.052751
300.84	0.049101
302.77	0.045856
304.7	0.042953
306.63	0.040345
308.55	0.037988
310.48	0.035851
312.41	0.033905
314.34	0.032127
316.27	0.030496
318.2	0.028996
320.13	0.027612
322.05	0.026332
323.98	0.025146
325.91	0.024043
327.84	0.023015
329.77	0.022056
331.7	0.021159
333.62	0.020319
335.55	0.01953
337.48	0.018789
339.41	0.018091
341.34	0.017432
343.27	0.016811
345.2	0.016223
347.12	0.015667
349.05	0.01514
350.98	0.01464
352.91	0.014165
354.84	0.013713
356.77	0.013283
358.69	0.012873
360.62	0.012483
362.55	0.01211
364.48	0.011754
366.41	0.011414
368.34	0.011088
370.27	0.010776
372.19	0.010478
374.12	0.010191
376.05	0.0099168
377.98	0.0096532
379.91	0.0093999
381.84	0.0091564
383.76	0.0089223
385.69	0.008697
387.62	0.0084802
389.55	0.0082712
391.48	0.0080699
393.41	0.0078758
395.34	0.0076885
397.26	0.0075077
399.19	0.0073332
401.12	0.0071645
403.05	0.0070016
404.98	0.0068441
406.91	0.0066917
408.83	0.0065443
410.76	0.0064016
412.69	0.0062634
414.62	0.0061295
416.55	0.0059998
418.48	0.0058741
420.41	0.0057522
422.33	0.0056339
424.26	0.0055192
426.19	0.0054078
428.12	0.0052997
430.05	0.0051947
431.98	0.0050926
433.9	0.0049935
435.83	0.0048971
437.76	0.0048035
439.69	0.0047123
441.62	0.0046237
443.55	0.0045375
445.48	0.0044535
447.4	0.0043718
449.33	0.0042922
451.26	0.0042147
453.19	0.0041392
455.12	0.0040656
457.05	0.0039939
458.98	0.003924
460.9	0.0038558
462.83	0.0037893
464.76	0.0037245
466.69	0.0036612
468.62	0.0035995
470.55	0.0035392
472.47	0.0034804
474.4	0.0034229
476.33	0.0033668
