X axis (cm^-1)	Real index (n)
100.28	2.8429
102.21	2.8649
104.14	2.8882
106.07	2.9129
107.99	2.9391
109.92	2.9669
111.85	2.9966
113.78	3.0283
115.71	3.0621
117.64	3.0984
119.56	3.1373
121.49	3.1791
123.42	3.2243
125.35	3.2732
127.28	3.3263
129.21	3.3841
131.14	3.4473
133.06	3.5168
134.99	3.5935
136.92	3.6786
138.85	3.7736
140.78	3.8804
142.71	4.0015
144.63	4.14
146.56	4.3001
148.49	4.4875
150.42	4.71
152.35	4.9787
154.28	5.3097
156.21	5.7266
158.13	6.2616
160.06	6.946
161.99	7.7109
163.92	7.8543
165.85	5.8653
167.78	3.4117
169.71	2.0585
171.63	1.3729
173.56	0.99309
175.49	0.76235
177.42	0.61161
179.35	0.5076
181.28	0.43283
183.2	0.37743
185.13	0.33549
187.06	0.30328
188.99	0.27839
190.92	0.25921
192.85	0.24462
194.78	0.23384
196.7	0.22629
198.63	0.22155
200.56	0.21925
202.49	0.21906
204.42	0.22066
206.35	0.2237
208.27	0.22788
210.2	0.23299
212.13	0.23899
214.06	0.24613
215.99	0.25499
217.92	0.26656
219.85	0.28221
221.77	0.30365
223.7	0.33262
225.63	0.36994
227.56	0.4137
229.49	0.45721
231.42	0.48994
233.34	0.50386
235.27	0.50048
237.2	0.49021
239.13	0.48481
241.06	0.49169
242.99	0.51282
244.92	0.54516
246.84	0.58134
248.77	0.6115
250.7	0.6263
252.63	0.62032
254.56	0.59452
256.49	0.55592
258.41	0.51384
260.34	0.47595
262.27	0.44685
264.2	0.42883
266.13	0.42305
268.06	0.43029
269.99	0.45052
271.91	0.48191
273.84	0.52056
275.77	0.56217
277.7	0.60362
279.63	0.64326
281.56	0.68042
283.48	0.71499
285.41	0.74706
287.34	0.77682
289.27	0.80449
291.2	0.83028
293.13	0.85437
295.06	0.87694
296.98	0.89814
298.91	0.9181
300.84	0.93694
302.77	0.95475
304.7	0.97163
306.63	0.98765
308.55	1.0029
310.48	1.0174
312.41	1.0312
314.34	1.0445
316.27	1.0571
318.2	1.0692
320.13	1.0808
322.05	1.092
323.98	1.1027
325.91	1.113
327.84	1.1229
329.77	1.1324
331.7	1.1416
333.62	1.1505
335.55	1.1591
337.48	1.1673
339.41	1.1754
341.34	1.1831
343.27	1.1906
345.2	1.1979
347.12	1.2049
349.05	1.2117
350.98	1.2183
352.91	1.2247
354.84	1.231
356.77	1.237
358.69	1.2429
360.62	1.2487
362.55	1.2542
364.48	1.2596
366.41	1.2649
368.34	1.27
370.27	1.275
372.19	1.2799
374.12	1.2847
376.05	1.2893
377.98	1.2938
379.91	1.2982
381.84	1.3025
383.76	1.3067
385.69	1.3108
387.62	1.3148
389.55	1.3187
391.48	1.3225
393.41	1.3263
395.34	1.3299
397.26	1.3335
399.19	1.337
401.12	1.3404
403.05	1.3438
404.98	1.347
406.91	1.3502
408.83	1.3534
410.76	1.3565
412.69	1.3595
414.62	1.3624
416.55	1.3653
418.48	1.3681
420.41	1.3709
422.33	1.3736
424.26	1.3763
426.19	1.3789
428.12	1.3815
430.05	1.384
431.98	1.3865
433.9	1.3889
435.83	1.3913
437.76	1.3936
439.69	1.3959
441.62	1.3982
443.55	1.4004
445.48	1.4026
447.4	1.4047
449.33	1.4068
451.26	1.4089
453.19	1.4109
455.12	1.4129
457.05	1.4149
458.98	1.4168
460.9	1.4187
462.83	1.4206
464.76	1.4224
466.69	1.4242
468.62	1.426
470.55	1.4277
472.47	1.4295
474.4	1.4311
476.33	1.4328
478.26	1.4344
480.19	1.4361
482.12	1.4376
484.05	1.4392
485.97	1.4407
487.9	1.4423
489.83	1.4438
491.76	1.4452
493.69	1.4467
495.62	1.4481
497.54	1.4495
499.47	1.4509
501.4	1.4523
503.33	1.4536
505.26	1.4549
507.19	1.4562
509.12	1.4575
511.04	1.4588
512.97	1.46
514.9	1.4613
516.83	1.4625
518.76	1.4637
520.69	1.4649
522.61	1.466
524.54	1.4672
526.47	1.4683
528.4	1.4695
530.33	1.4706
532.26	1.4717
534.19	1.4727
536.11	1.4738
538.04	1.4748
539.97	1.4759
541.9	1.4769
543.83	1.4779
545.76	1.4789
547.68	1.4799
549.61	1.4809
551.54	1.4818
553.47	1.4828
555.4	1.4837
557.33	1.4846
559.26	1.4855
561.18	1.4864
563.11	1.4873
565.04	1.4882
566.97	1.4891
568.9	1.4899
570.83	1.4908
572.75	1.4916
574.68	1.4924
576.61	1.4932
578.54	1.494
580.47	1.4948
582.4	1.4956
584.33	1.4964
586.25	1.4972
588.18	1.4979
590.11	1.4987
592.04	1.4994
593.97	1.5002
595.9	1.5009
597.82	1.5016
599.75	1.5023
601.68	1.503
603.61	1.5037
605.54	1.5044
607.47	1.5051
609.4	1.5057
611.32	1.5064
613.25	1.5071
615.18	1.5077
617.11	1.5084
619.04	1.509
620.97	1.5096
622.89	1.5102
624.82	1.5109
626.75	1.5115
628.68	1.5121
630.61	1.5127
632.54	1.5133
634.47	1.5138
636.39	1.5144
638.32	1.515
640.25	1.5156
642.18	1.5161
644.11	1.5167
646.04	1.5172
647.96	1.5178
649.89	1.5183
651.82	1.5188
653.75	1.5194
655.68	1.5199
657.61	1.5204
659.54	1.5209
661.46	1.5214
663.39	1.5219
665.32	1.5224
667.25	1.5229
669.18	1.5234
671.11	1.5239
673.03	1.5243
674.96	1.5248
676.89	1.5253
678.82	1.5257
680.75	1.5262
682.68	1.5267
684.61	1.5271
686.53	1.5275
688.46	1.528
690.39	1.5284
692.32	1.5289
694.25	1.5293
696.18	1.5297
698.11	1.5301
700.03	1.5306
701.96	1.531
703.89	1.5314
705.82	1.5318
707.75	1.5322
709.68	1.5326
711.6	1.533
713.53	1.5334
715.46	1.5338
717.39	1.5341
719.32	1.5345
721.25	1.5349
723.17	1.5353
725.1	1.5356
727.03	1.536
728.96	1.5364
730.89	1.5367
732.82	1.5371
734.75	1.5375
736.67	1.5378
738.6	1.5382
740.53	1.5385
742.46	1.5388
744.39	1.5392
746.32	1.5395
748.25	1.5399
750.17	1.5402
752.1	1.5405
754.03	1.5408
755.96	1.5412
757.89	1.5415
759.82	1.5418
761.74	1.5421
763.67	1.5424
765.6	1.5427
767.53	1.543
769.46	1.5433
771.39	1.5436
773.32	1.5439
775.24	1.5442
777.17	1.5445
779.1	1.5448
781.03	1.5451
782.96	1.5454
784.89	1.5457
786.81	1.546
788.74	1.5463
790.67	1.5465
792.6	1.5468
794.53	1.5471
796.46	1.5474
798.39	1.5476
800.31	1.5479
802.24	1.5482
804.17	1.5484
806.1	1.5487
808.03	1.5489
809.96	1.5492
811.88	1.5495
813.81	1.5497
815.74	1.55
817.67	1.5502
819.6	1.5505
821.53	1.5507
823.46	1.551
825.38	1.5512
827.31	1.5514
829.24	1.5517
831.17	1.5519
833.1	1.5521
835.03	1.5524
836.95	1.5526
838.88	1.5528
840.81	1.5531
842.74	1.5533
844.67	1.5535
846.6	1.5537
848.53	1.554
850.45	1.5542
852.38	1.5544
854.31	1.5546
856.24	1.5548
858.17	1.555
860.1	1.5553
862.02	1.5555
863.95	1.5557
865.88	1.5559
867.81	1.5561
869.74	1.5563
871.67	1.5565
873.6	1.5567
875.52	1.5569
877.45	1.5571
879.38	1.5573
881.31	1.5575
883.24	1.5577
885.17	1.5579
887.09	1.5581
889.02	1.5583
890.95	1.5584
892.88	1.5586
894.81	1.5588
896.74	1.559
898.67	1.5592
900.59	1.5594
902.52	1.5596
904.45	1.5597
906.38	1.5599
908.31	1.5601
910.24	1.5603
912.16	1.5604
914.09	1.5606
916.02	1.5608
917.95	1.561
919.88	1.5611
921.81	1.5613
923.74	1.5615
925.66	1.5616
927.59	1.5618
929.52	1.562
931.45	1.5621
933.38	1.5623
935.31	1.5625
937.23	1.5626
939.16	1.5628
941.09	1.5629
943.02	1.5631
944.95	1.5633
946.88	1.5634
948.81	1.5636
950.73	1.5637
952.66	1.5639
954.59	1.564
956.52	1.5642
958.45	1.5643
960.38	1.5645
962.3	1.5646
964.23	1.5648
966.16	1.5649
968.09	1.5651
970.02	1.5652
971.95	1.5653
973.88	1.5655
975.8	1.5656
977.73	1.5658
979.66	1.5659
981.59	1.566
983.52	1.5662
985.45	1.5663
987.37	1.5665
989.3	1.5666
991.23	1.5667
993.16	1.5669
995.09	1.567
997.02	1.5671
998.95	1.5673
1000.9	1.5674
1002.8	1.5675
1004.7	1.5676
1006.7	1.5678
1008.6	1.5679
1010.5	1.568
1012.4	1.5682
1014.4	1.5683
1016.3	1.5684
1018.2	1.5685
1020.2	1.5686
1022.1	1.5688
1024	1.5689
1025.9	1.569
1027.9	1.5691
1029.8	1.5693
1031.7	1.5694
1033.7	1.5695
1035.6	1.5696
1037.5	1.5697
1039.4	1.5698
1041.4	1.57
1043.3	1.5701
1045.2	1.5702
1047.2	1.5703
1049.1	1.5704
1051	1.5705
1052.9	1.5706
1054.9	1.5707
