X axis (cm^-1)	Reflectance
100.2803	0.1888
102.2087	0.1997
104.1372	0.1997
106.0657	0.2057
107.9941	0.2073
109.9226	0.2085
111.8511	0.2128
113.7795	0.2212
115.7080	0.2292
117.6365	0.2303
119.5649	0.2355
121.4934	0.2454
123.4219	0.2464
125.3503	0.2581
127.2788	0.2684
129.2073	0.2735
131.1357	0.2790
133.0642	0.2883
134.9927	0.2970
136.9211	0.3044
138.8496	0.3181
140.7781	0.3373
142.7065	0.3507
144.6350	0.3647
146.5635	0.3785
148.4919	0.3964
150.4204	0.4200
152.3489	0.4487
154.2773	0.4785
156.2058	0.5136
158.1343	0.5568
160.0627	0.6109
161.9912	0.6685
163.9196	0.7269
165.8481	0.7774
167.7766	0.8163
169.7050	0.8393
171.6335	0.8519
173.5620	0.8582
175.4904	0.8655
177.4189	0.8722
179.3474	0.8795
181.2758	0.8831
183.2043	0.8789
185.1328	0.8752
187.0612	0.8765
188.9897	0.8775
190.9182	0.8739
192.8466	0.8697
194.7751	0.8677
196.7036	0.8621
198.6320	0.8551
200.5605	0.8470
202.4890	0.8373
204.4174	0.8214
206.3459	0.8085
208.2744	0.7932
210.2028	0.7745
212.1313	0.7525
214.0598	0.7289
215.9882	0.7009
217.9167	0.6724
219.8452	0.6389
221.7736	0.5987
223.7021	0.5527
225.6306	0.5041
227.5590	0.4489
229.4875	0.3983
231.4160	0.3663
233.3444	0.3592
235.2729	0.3665
237.2014	0.3639
239.1298	0.3431
241.0583	0.3133
242.9868	0.2836
244.9152	0.2586
246.8437	0.2387
248.7722	0.2253
250.7006	0.2198
252.6291	0.2226
254.5576	0.2345
256.4860	0.2509
258.4145	0.2691
260.3430	0.2840
262.2714	0.2905
264.1999	0.2849
266.1284	0.2668
268.0568	0.2380
269.9853	0.2024
271.9138	0.1655
273.8422	0.1323
275.7707	0.1055
277.6992	0.0846
279.6276	0.0685
281.5561	0.0572
283.4846	0.0493
285.4130	0.0438
287.3415	0.0398
289.2700	0.0368
291.1984	0.0348
293.1269	0.0329
295.0554	0.0306
296.9838	0.0284
298.9123	0.0268
300.8408	0.0250
302.7692	0.0229
304.6977	0.0212
306.6261	0.0199
308.5546	0.0191
310.4831	0.0186
312.4115	0.0179
314.3400	0.0171
316.2685	0.0167
318.1969	0.0165
320.1254	0.0164
322.0539	0.0164
323.9823	0.0164
325.9108	0.0163
327.8393	0.0161
329.7677	0.0162
331.6962	0.0164
333.6247	0.0169
335.5531	0.0170
337.4816	0.0169
339.4101	0.0172
341.3385	0.0177
343.2670	0.0179
345.1955	0.0184
347.1239	0.0188
349.0524	0.0192
350.9809	0.0197
352.9093	0.0201
354.8378	0.0202
356.7663	0.0205
358.6947	0.0208
360.6232	0.0213
362.5517	0.0217
364.4801	0.0222
366.4086	0.0225
368.3371	0.0229
370.2655	0.0233
372.1940	0.0238
374.1225	0.0245
376.0509	0.0251
377.9794	0.0252
379.9079	0.0254
381.8363	0.0256
383.7648	0.0259
385.6933	0.0262
387.6217	0.0267
389.5502	0.0273
391.4786	0.0277
393.4071	0.0279
395.3356	0.0281
397.2640	0.0281
399.1925	0.0284
401.1210	0.0288
403.0494	0.0293
404.9779	0.0295
406.9064	0.0297
408.8348	0.0299
410.7633	0.0302
412.6918	0.0303
414.6202	0.0308
416.5487	0.0311
418.4772	0.0312
420.4056	0.0313
422.3341	0.0316
424.2626	0.0318
426.1910	0.0320
428.1195	0.0320
430.0480	0.0322
431.9764	0.0325
433.9049	0.0329
435.8334	0.0331
437.7618	0.0332
439.6903	0.0334
441.6188	0.0337
443.5472	0.0338
445.4757	0.0343
447.4042	0.0346
449.3326	0.0350
451.2611	0.0352
453.1896	0.0352
455.1180	0.0350
457.0465	0.0350
458.9750	0.0351
460.9034	0.0356
462.8319	0.0359
464.7604	0.0361
466.6888	0.0363
468.6173	0.0363
470.5458	0.0363
472.4742	0.0363
474.4027	0.0366
476.3311	0.0367
478.2596	0.0367
480.1881	0.0368
482.1165	0.0371
484.0450	0.0372
485.9735	0.0371
487.9019	0.0372
489.8304	0.0374
491.7589	0.0376
493.6873	0.0379
495.6158	0.0378
497.5443	0.0378
499.4727	0.0379
501.4012	0.0381
503.3297	0.0383
505.2583	0.0373
507.1868	0.0374
509.1152	0.0374
511.0437	0.0377
512.9722	0.0378
514.9006	0.0380
516.8291	0.0382
518.7576	0.0384
520.6860	0.0385
522.6145	0.0384
524.5430	0.0386
526.4714	0.0390
528.3999	0.0393
530.3284	0.0394
532.2568	0.0393
534.1853	0.0392
536.1138	0.0395
538.0422	0.0397
539.9707	0.0398
541.8992	0.0399
543.8276	0.0402
545.7561	0.0404
547.6846	0.0403
549.6130	0.0406
551.5415	0.0409
553.4700	0.0411
555.3984	0.0413
557.3269	0.0413
559.2554	0.0414
561.1838	0.0416
563.1123	0.0418
565.0408	0.0420
566.9692	0.0422
568.8977	0.0424
570.8262	0.0423
572.7546	0.0423
574.6831	0.0426
576.6116	0.0429
578.5400	0.0432
580.4685	0.0435
582.3970	0.0436
584.3254	0.0438
586.2539	0.0441
588.1824	0.0442
590.1108	0.0444
592.0393	0.0447
593.9678	0.0448
595.8962	0.0449
597.8247	0.0450
599.7532	0.0453
601.6816	0.0456
603.6101	0.0456
605.5386	0.0456
607.4670	0.0456
609.3955	0.0456
611.3240	0.0456
613.2524	0.0457
615.1809	0.0457
617.1094	0.0456
619.0378	0.0455
620.9663	0.0455
622.8948	0.0455
624.8232	0.0455
626.7517	0.0455
628.6802	0.0454
630.6086	0.0454
632.5371	0.0454
634.4656	0.0454
636.3940	0.0455
638.3225	0.0455
640.2510	0.0454
642.1794	0.0455
644.1079	0.0456
646.0364	0.0456
647.9648	0.0456
649.8933	0.0457
651.8218	0.0457
653.7502	0.0457
655.6787	0.0457
657.6072	0.0458
659.5356	0.0458
661.4641	0.0458
663.3926	0.0458
665.3210	0.0458
667.2495	0.0459
669.1780	0.0461
671.1064	0.0461
673.0349	0.0462
674.9634	0.0462
676.8918	0.0462
678.8203	0.0463
680.7488	0.0464
682.6772	0.0465
684.6057	0.0465
686.5342	0.0465
688.4626	0.0464
690.3911	0.0465
692.3196	0.0467
694.2480	0.0467
696.1765	0.0468
698.1050	0.0468
700.0334	0.0467
701.9619	0.0468
703.8904	0.0469
705.8188	0.0469
707.7473	0.0468
709.6758	0.0468
711.6042	0.0469
713.5327	0.0469
715.4612	0.0470
717.3896	0.0470
719.3181	0.0470
721.2466	0.0471
723.1750	0.0471
725.1035	0.0471
727.0320	0.0471
728.9604	0.0472
730.8889	0.0473
732.8174	0.0474
734.7458	0.0475
736.6743	0.0475
738.6028	0.0475
740.5313	0.0475
742.4597	0.0475
744.3882	0.0475
746.3167	0.0475
748.2451	0.0475
750.1736	0.0476
752.1021	0.0476
754.0305	0.0477
755.9590	0.0478
757.8875	0.0479
759.8159	0.0479
761.7444	0.0479
763.6729	0.0479
765.6013	0.0479
767.5298	0.0480
769.4583	0.0480
771.3867	0.0481
773.3152	0.0481
775.2437	0.0481
777.1721	0.0482
779.1006	0.0483
781.0291	0.0483
782.9575	0.0484
784.8860	0.0484
786.8145	0.0484
788.7429	0.0484
790.6714	0.0485
792.5999	0.0486
794.5283	0.0486
796.4568	0.0486
798.3853	0.0487
800.3137	0.0487
802.2422	0.0488
804.1707	0.0488
806.0991	0.0488
808.0276	0.0488
809.9561	0.0488
811.8845	0.0488
813.8130	0.0489
815.7415	0.0489
817.6699	0.0489
819.5984	0.0491
821.5269	0.0491
823.4553	0.0490
825.3838	0.0491
827.3123	0.0492
829.2407	0.0492
831.1692	0.0493
833.0977	0.0494
835.0261	0.0494
836.9546	0.0494
838.8831	0.0495
840.8115	0.0495
842.7400	0.0495
844.6685	0.0495
846.5969	0.0496
848.5254	0.0496
850.4539	0.0496
852.3823	0.0496
854.3108	0.0496
856.2393	0.0496
858.1677	0.0497
860.0962	0.0498
862.0247	0.0499
863.9531	0.0499
865.8816	0.0498
867.8101	0.0499
869.7385	0.0499
871.6670	0.0500
873.5955	0.0500
875.5239	0.0500
877.4524	0.0500
879.3809	0.0500
881.3093	0.0500
883.2378	0.0500
885.1663	0.0501
887.0947	0.0502
889.0232	0.0502
890.9517	0.0502
892.8801	0.0504
894.8085	0.0504
896.7370	0.0504
898.6655	0.0504
900.5939	0.0504
902.5224	0.0504
904.4509	0.0504
906.3793	0.0505
908.3078	0.0504
910.2363	0.0505
912.1647	0.0505
914.0932	0.0506
916.0217	0.0505
917.9501	0.0505
919.8786	0.0506
921.8071	0.0507
923.7355	0.0507
925.6640	0.0508
927.5925	0.0507
929.5209	0.0508
931.4494	0.0508
933.3779	0.0507
935.3063	0.0507
937.2348	0.0508
939.1633	0.0508
941.0917	0.0509
943.0202	0.0509
944.9487	0.0509
946.8771	0.0509
948.8056	0.0509
950.7341	0.0509
952.6625	0.0509
954.5910	0.0510
956.5195	0.0510
958.4479	0.0510
960.3764	0.0510
962.3049	0.0510
964.2333	0.0510
966.1618	0.0509
968.0903	0.0510
970.0187	0.0510
971.9472	0.0510
973.8757	0.0511
975.8041	0.0511
977.7326	0.0511
979.6611	0.0510
981.5895	0.0510
983.5180	0.0510
985.4465	0.0510
987.3749	0.0511
989.3034	0.0511
991.2319	0.0512
993.1603	0.0512
995.0888	0.0512
997.0173	0.0511
998.9457	0.0512
1000.8740	0.0512
1002.8030	0.0512
1004.7310	0.0512
1006.6600	0.0512
1008.5880	0.0513
1010.5170	0.0513
1012.4450	0.0513
1014.3730	0.0513
1016.3020	0.0513
1018.2300	0.0513
1020.1590	0.0513
1022.0870	0.0513
1024.0160	0.0513
1025.9440	0.0514
1027.8730	0.0513
1029.8010	0.0513
1031.7300	0.0513
1033.6580	0.0514
1035.5870	0.0515
1037.5150	0.0515
1039.4440	0.0514
1041.3720	0.0514
1043.3010	0.0514
1045.2290	0.0514
1047.1570	0.0514
1049.0860	0.0514
1051.0140	0.0514
1052.9430	0.0514
1054.8710	0.0514
1056.8000	0.0514
1058.7280	0.0514
1060.6570	0.0513
1062.5850	0.0513
1064.5140	0.0512
1066.4420	0.0512
1068.3710	0.0512
1070.2990	0.0512
1072.2280	0.0511
1074.1560	0.0510
1076.0840	0.0510
1078.0130	0.0510
1079.9410	0.0510
1081.8700	0.0510
1083.7980	0.0509
1085.7270	0.0509
1087.6550	0.0509
1089.5840	0.0508
1091.5120	0.0507
1093.4410	0.0507
1095.3690	0.0506
1097.2980	0.0505
1099.2260	0.0504
1101.1550	0.0504
1103.0830	0.0503
1105.0110	0.0503
1106.9400	0.0503
1108.8680	0.0503
1110.7970	0.0503
1112.7250	0.0503
1114.6540	0.0502
1116.5820	0.0502
1118.5110	0.0502
1120.4390	0.0502
1122.3680	0.0502
1124.2960	0.0502
1126.2250	0.0502
1128.1530	0.0502
1130.0820	0.0502
1132.0100	0.0503
1133.9380	0.0504
1135.8670	0.0504
1137.7950	0.0504
1139.7240	0.0505
1141.6520	0.0505
1143.5810	0.0505
1145.5090	0.0506
1147.4380	0.0507
1149.3660	0.0507
1151.2950	0.0507
1153.2230	0.0508
1155.1520	0.0508
1157.0800	0.0508
1159.0090	0.0508
1160.9370	0.0508
1162.8650	0.0508
1164.7940	0.0508
1166.7220	0.0508
1168.6510	0.0508
1170.5790	0.0508
1172.5080	0.0509
1174.4360	0.0509
1176.3650	0.0509
1178.2930	0.0510
1180.2220	0.0510
1182.1500	0.0510
1184.0790	0.0510
1186.0070	0.0511
1187.9360	0.0511
1189.8640	0.0511
1191.7920	0.0512
